brand,name,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,price
HP,Victus 15-fb1002AX Gaming Laptop,70.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8,DDR5,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,55500
HP,Pavilion Plus ‎16-ab0456TX Laptop,76.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16,DDR4,1024,SSD,6GB NVIDIA GeForce RTX 3050,16.0,2560.0,1600.0,Windows 11 OS,1,124999
HP,Omen 16-XD0007ax Gaming Laptop,76.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16,DDR5,1024,SSD,6GB NVIDIA GeForce RTX 4050,16.1,1920.0,1080.0,Windows 11 OS,1,104990
MSI,Katana 15 B12VGK-1295IN Gaming Laptop,72.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4070,15.6,1920.0,1080.0,Windows 11 OS,2,136990
Lenovo,Legion Slim 5 82Y9009JIN Gaming Laptop,83.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,16.0,2560.0,1600.0,Windows 11 OS,1,131990
Lenovo,IdeaPad Slim 3 14ITL6 82H701N3IN Laptop,60.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,512,SSD,Intel UHD Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,36490
Asus,ROG Flow X13 GV302XV-MU016WS Gaming Laptop,75.0,7th Gen AMD Ryzen 9  7940HS,"Octa Core, 16 Threads",16,LPDDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,13.4,2560.0,1600.0,Windows 11 OS,1,188752
HP,250 G9 7M657PA Laptop,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel Integrated,15.6,1366.0,768.0,Windows 11 OS,1,36999
Lenovo,Yoga 7 82YL0095IN Laptop,75.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16,LPDDR5,1024,SSD,Integrated Intel Iris Xe Graphics,14.0,2880.0,1800.0,Windows 11 OS,1,92890
Dell,Inspiron 7430 2 in 1 2023 Laptop,69.32352941176471,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8,LPDDR5,256,SSD,Intel UHD Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,57990
HP,15s-fy5007TU Laptop,62.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,51999
Lenovo,Yoga Slim 6 83E00006IN Laptop,69.32352941176471,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16,LPDDR5,512,SSD,Intel Integrated Iris Xe,14.0,1920.0,1200.0,Windows 11 OS,1,79990
Lenovo,IdeaPad Flex 5 14IRU8 82Y00051IN Laptop,64.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16,LPDDR4X,512,SSD,Intel Integrated Iris Xe,14.0,1920.0,1200.0,Windows 11 OS,1,76890
Lenovo,IdeaPad 1 15ALC7 82R400BSIN Laptop,69.32352941176471,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8,DDR4,512,SSD,AMD Radeon,15.6,1920.0,1080.0,Windows 11 OS,1,37790
Acer,One 11 Z8-284 UN.013SI.033 Laptop,69.32352941176471,Intel Celeron N4500,"Dual Core, 2 Threads",8,DDR4,128,SSD,Intel Integrated UHD,11.6,1366.0,768.0,Windows 11 OS,1,17990
HP,15s-fy5006TU Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,38990
Lenovo,IdeaPad 3 15ITL6 82H803LJIN Laptop,63.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8,DDR4,512,SSD,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,41990
Lenovo,IdeaPad Slim 5 82XD005RIN Laptop,69.32352941176471,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,14.0,1920.0,1200.0,Windows 11 OS,2,68990
HP,Pavilion 14-dv2153TU Laptop,67.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,1024,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,69990
Acer,TravelMate P2 TMP214-53 Business Laptop,65.0,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16,DDR4,1024,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,56990
Asus,ROG Strix G15 G513RC-HN251WS Gaming Laptop,71.0,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16,DDR5,1024,SSD,4GB NVIDIA GeForce RTX RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,89990
MSI,Thin GF63 12UC-846IN Gaming Laptop,71.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,2,62990
Lenovo,IdeaPad Slim 3 82RK00VWIN Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,37990
Lenovo,IdeaPad Gaming 3 82SB00V4IN Laptop,60.0,6th Gen AMD Ryzen 5 6600H,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,58990
Lenovo,IdeaPad 1 15AMN7 82VG00EQIN Laptop,69.32352941176471,AMD Athlon 7120U,"Dual Core, 2 Threads",8,LPDDR5,512,SSD,AMD Radeon 610M Graphics,15.6,1366.0,768.0,Windows 11 OS,1,26990
Asus,ROG Strix G16 2023 G614JJ-N3088WS Gaming Laptop,70.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16,DDR5,1024,SSD,6GB NVIDIA GeForce RTX 3050,16.0,1920.0,1200.0,Windows 11 OS,1,94990
Asus,ROG Strix G17 G713RC-HX109WS Gaming Laptop,71.0,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",16,DDR5,512,SSD,4GB NVIDIA GeForce RTX 3050,17.3,1920.0,1080.0,Windows 11 OS,1,86189
Chuwi,FreeBook Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",12,LPDDR4,512,SSD,Intel Integrated Intel UHD Graphics,13.5,2256.0,1504.0,Windows 11 OS,1,37990
Lenovo,Legion Slim 7 16IRH8 82Y3007QIN Gaming Laptop,89.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,16.0,3200.0,2000.0,Windows 11 OS,1,194990
Lenovo,IdeaPad Gaming 3 15IHU6 82K101PBIN Laptop,67.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,51990
Lenovo,IdeaPad Slim 3 82H803U0IN Laptop,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,256,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,31990
Acer,Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop,69.32352941176471,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8,DDR5,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,41990
Asus,VivoBook 15 X1500EA-EJ311W Laptop,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,256,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,31990
Asus,Vivobook 15 X1504ZA-NJ542WS Laptop,60.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,512,SSD,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,51390
HP,Pavilion 15-eg3018TU Laptop,69.32352941176471,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16,DDR4-,1024,SSD,Intel Integrated Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,76900
HP,15s-fq3066TU Laptop,69.32352941176471,Intel Celeron N4500,"Dual Core, 2 Threads",8,DDR4,512,SSD,Intel Integrated UHD,15.6,1366.0,768.0,Windows 11 OS,1,27890
Lenovo,IdeaPad 3 82H803HRIN Laptop,60.0,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,56990
Asus,Vivobook Pro 15 M6500QC-HN751WS Laptop,64.0,5th Gen AMD Ryzen 7 5800HS,"Octa Core, 16 Threads",16,DDR4,1024,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,73990
HP,255 G9 841W6PA Laptop,69.32352941176471,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1366.0,768.0,DOS 3.0 OS,1,24999
HP,255 G8 7J035AA Laptop,69.32352941176471,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8,DDR4,256,SSD,AMD Radeon ,15.6,1920.0,1080.0,Windows 11  OS,1,33999
Lenovo,IdeaPad Slim 5 16IAH8 83BG000PIN Laptop,63.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,LPDDR5,512,SSD,Intel UHD Graphics,16.0,1920.0,1200.0,Windows 11 OS,1,61990
HP,Victus15-fb0147AX Gaming Laptop,62.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB AMD Radeon AMD Radeon RX 6500M,15.6,1920.0,1080.0,Windows 11 OS,1,47990
Asus,TUF Gaming F15  FX506HF-HN075W Gaming Laptop,66.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,53990
HP,15S-EQ1550AU Laptop,69.32352941176471,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8,DDR4,512,SSD,AMD Radeon Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,31890
Asus,Vivobook Pro 15 M6500QF-HN541WS Creator Laptop,63.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce GTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,62390
Wings,Nuvobook Pro Laptop,69.32352941176471,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16,LPDDR4,512,SSD,Intel Graphics,14.0,1080.0,1920.0,Windows 11 OS,1,49990
Wings,Nuvobook S1 Laptop,69.32352941176471,11th Gen Intel Core i3 1125G4,"Quad Core, 8 Threads",8,LPDDR4,256,SSD,Intel Graphics,15.6,1080.0,1920.0,Windows 11 OS,1,29990
Infinix,INBook X3 Slim Series XL422 Laptop,69.32352941176471,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16,LPDDR4X,512,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,49990
Dell,Vostro 3430 Laptop,69.32352941176471,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8,DDR4,512,SSD,Intel UHD Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,43490
Dell,Inspiron 7430 2 in 1 Touch Laptop,60.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16,LPDDR5,1024,SSD,Intel Iris Xe Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,95640
HP,Omen 16-xf0060AX Gaming Laptop,80.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,16.0,1920.0,1080.0,Windows 11 OS,1,125990
HP,Pavilion 15-eg3017TU Laptop,63.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,1024,SSD,Intel Integrated Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,72990
MSI,Thin GF63 11UCX-1497IN Gaming Laptop,69.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,2,47990
HP,Victus  15-fa1060TX  Gaming Laptop,71.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16,DDR4,512,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920.0,1080.0,Windows 11 OS,1,99999
Asus,Vivobook 15 X1504ZA-NJ325WS Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,40990
Asus,Zenbook Flip 14 OLED UP5401ZA-KU741WS Laptop,75.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16,LPDDR5,512,SSD,Intel Integrated Iris Xe,14.0,3840.0,2400.0,Windows 11 OS,1,94990
Asus,VivoBook 15 X1500EA-EJ326WS Laptop,69.32352941176471,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,37990
Lenovo,LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop,69.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR5,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,73990
Lenovo,LOQ 15APH8 82XT009CIN 2023 Gaming Laptop,75.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16,DDR5,512,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920.0,1080.0,Windows 11 OS,1,109990
Acer,Nitro 5 AN515-58 NH.QFHSI.008 Gaming Laptop,65.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,65999
Acer,Aspire Lite AL15-51 2023 Laptop,69.32352941176471,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8,DDR4,512,SSD,AMD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,35990
Asus,Vivobook 15 X1504ZA-NJ321WS Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,37980
MSI,Modern 15 B11M-061IN Laptop,63.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16,DDR4,512,SSD,Intel Integrated Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,40789
Dell,Alienware M18 R1 2023 Gaming Laptop,83.0,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",64,LPDDR5,1024,SSD,16GB NVIDIA GeForce RTX 4090,18.0,3200.0,1800.0,Windows 11 OS,1,450039
Asus,Vivobook 14X K3405ZFB-KM752WS Laptop,75.0,12th Gen Intel Core i7 12650H ,"10 Cores (6P + 4E), 16 Threads",16,DDR4,1024,SSD,4GB NVIDIA GeForce RTX 2050,14.0,2880.0,1800.0,Windows 11 OS,1,89990
Acer,Aspire 5 15 A515-58M Gaming Laptop,60.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16,LPDDR5,512,SSD,4GB NVIDIA GeForce RTX2050,15.6,1920.0,1080.0,Windows 11 OS,1,56990
Walker,NU14A1 Laptop,69.32352941176471,Intel Celeron  N4020,"Dual Core, 2 Threads",4,DDR4,128,SSD,Intel Integrated UHD Graphics,14.1,1920.0,1080.0,Windows 11 OS,1,16990
Acer,Swift 3 OLED SF314-71 NX.K9PSI.003 Laptop,63.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8,LPDDR5,512,SSD,Intel Integrated Iris Xe,14.0,2880.0,1800.0,Windows 11 OS,1,54990
Dell,Inspiron 14 5430 2023 Laptop,60.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8,LPDDR5,1024,SSD,Intel Iris Xe Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,67000
Lenovo,ThinkBook 15 21JF002CIN Laptop,69.32352941176471,7th Gen AMD Ryzen 3 7330U,"Quad Core, 8 Threads",8,DDR4,512,SSD,AMD Radeon AMD,15.6,1920.0,1080.0,DOS OS,1,34499
HP,Pavilion Plus ‎14-eh1047TU Laptop,71.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16,DDR4,512,SSD,Intel Integrated Iris Xe,14.0,2880.0,1800.0,Windows 11 OS,1,107763
Dell,Inspiron 7430 2 in 1 Laptop,69.32352941176471,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8,LPDDR5,1024,SSD,Intel UHD Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,61490
HP,Pavilion Plus 14-eh1022TU Laptop,69.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16,DDR4,512,SSD,Intel Iris Xe Graphics,14.0,2240.0,1400.0,Windows 11 OS,1,80490
Lenovo,Ideapad Gaming 3 82SB00NXIN Laptop,69.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16,DDR5,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,57990
MSI,Modern 14 C11M-029IN Laptop,62.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16,DDR4,512,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,39990
Lenovo,Ideapad Flex 5i 14IAU7 82R70067IN Laptop,64.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,LPDDR4,512,SSD,Intel Integrated UHD,14.0,1920.0,1080.0,Windows 11 OS,1,53990
Dell,Inspiron 3535 Laptop,69.32352941176471,7th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",8,LPDDR5,512,SSD,AMD Radeon Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,44500
HP,14-hr0000AU Laptop,60.0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",16,LPDDR5,512,SSD,AMD Radeon AMD,14.0,1920.0,1080.0,Windows 11 OS,1,48999
HP,Envy 15-fe0032TU Laptop,70.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16,LPDDR5,1024,SSD,Intel Iris X Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,116990
Acer,Aspire 3 NX.KDESI.008 Laptop,69.32352941176471,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8,DDR5,512,SSD,AMD Radeon AMD,15.6,1920.0,1080.0,Windows 11 OS,1,30990
Lenovo,IdeaPad Slim 3 82XQ008EIN Laptop,69.32352941176471,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8,LPDDR5,512,SSD,AMD Radeon 610M Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,33790
MSI,Thin GF63 11UCX-1476IN Gaming Laptop,72.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050 ,15.6,1920.0,1080.0,Windows 11 OS,2,51990
Asus,Vivobook 15 X1504ZA-NJ521WS Laptop,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,45990
MSI,Thin GF63 11UC-1475IN Gaming Laptop,70.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050 ,15.6,1920.0,1080.0,Windows 11 OS,2,51990
Lenovo,V15 G3 IAP 82TTA00UIH Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,DOS OS,1,34099
HP,Pavilion 15-EH3101AU Laptop,66.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16,DDR4,512,SSD,AMD Radeon Vega 8 Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,65600
Lenovo,V15 G4 82YU00W6IN Laptop,69.32352941176471,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8,LPDDR5,512,SSD,AMD Radeon Graphics,15.6,1920.0,1080.0,DOS OS,1,27990
Lenovo,V14 G3 IAP Laptop,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel Integrated UHD,14.0,1920.0,1080.0,Windows 11 OS,1,46990
Dell,‎G16-7630 2023 Gaming Laptop,78.0,13th Gen Intel Core i7 13650HX,14 Cores (6P + 8E),16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,16.0,2560.0,1600.0,Windows 11 OS,1,161590
Dell,Inspiron 7430 IC7430FD64T001ORS1 Laptop,69.32352941176471,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16,LPDDR5,512,SSD,Intel Iris Xe Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,98990
Lenovo,Legion 5 Pro 2023 Gaming Laptop,79.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",32,DDR5,1024,SSD,16GB NVIDIA GeForce RTX 4090,16.0,2560.0,1600.0,Windows 11 OS,1,172990
Acer,One 14 Z8-415UN.599SI.009 Laptop,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,256,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,25990
HP,Victus 15-fb0136AX Gaming Laptop,66.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,61990
Asus,Zenbook 14X OLED 2023 UM5401QA-KM751WS Laptop,64.0,5th Gen AMD Ryzen 7 5800HS,"Octa Core, 16 Threads",16,LPDDR4X,1024,SSD,AMD Radeon AMD,14.0,2880.0,1800.0,Windows 11 OS,1,76990
Dell,G15-5530 Gaming Laptop,73.0,13th Gen Intel Core i7 13650HX,14 Cores (6P + 8E),16,DDR5,512,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920.0,1080.0,Windows 11 OS,1,126790
Asus,ROG Flow Z13 2023 GZ301VV-MU014WS Gaming Laptop,73.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16,LPDDR5,1024,SSD,8GB NVIDIA GeForce RTX 4060,13.4,2560.0,1600.0,Windows 11 OS,1,209990
Asus,ROG Strix G16 2023 G614JI-N4151WS Gaming Laptop,79.0,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",16,DDR5,1024,SSD,8GB NVIDIA GeForce RTX 4070,16.0,2560.0,1600.0,Windows 11 OS,1,209990
Asus,ROG Strix G16 2023 G614JU-N3200WS Gaming Laptop,78.0,13th Gen Intel Core i7 13650HX,14 Cores (6P + 8E),16,DDR5,1024,SSD,6GB NVIDIA GeForce RTX 4050,16.0,1920.0,1200.0,Windows 11 OS,1,142990
Asus,Vivobook Pro 15 OLED K6502VU-MA951WS Laptop,84.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16,DDR5,1024,SSD,6GB NVIDIA GeForce RTX 4050,15.6,2880.0,1620.0,Windows 11 OS,1,156990
Asus,Vivobook 14X OLED 2023 K3405VCB-KM542WS Laptop,70.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16,DDR4,512,SSD,4GB NVIDIA Geforce RTX 3050,14.0,2880.0,1800.0,Windows 11 OS,1,93980
Asus,TUF Gaming F17 FX706HF-HX018W Laptop,64.0,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,17.3,1920.0,1080.0,Windows 11 OS,1,53990
HP,15s-fy5002TU Laptop,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel Integrated Integrated,15.6,1920.0,1080.0,Windows 11 OS,1,51990
Asus,VivoBook 15 X515EA-EJ342WS Laptop,69.32352941176471,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",16,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,35990
HP,15s-fy5003TU Laptop,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,37990
HP,15-fc0030AU Laptop,69.32352941176471,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",16,LPDDR5,512,SSD,AMD Radeon AMD,15.6,1920.0,1080.0,Windows 11 OS,1,46490
HP,15-eg3036TU Laptop,69.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16,DDR4,1024,SSD,Intel Integrated Integrated,15.6,1920.0,1080.0,Windows 11 OS,1,90490
HP,Victus 15-fb0122AX Gaming Laptop,67.0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920.0,1080.0,Windows 11 OS,1,55990
Asus,Vivobook Pro 16 OLED 2023 K6602VU-LZ952WS Laptop,88.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16,DDR5,1024,SSD,6GB NVIDIA GeForce RTX 4050,16.0,3200.0,2000.0,Windows 11 OS,1,159990
HP,15-fd0011TU Laptop,69.32352941176471,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8,DDR4,512,SSD,Intel Integrated Integrated,15.6,1920.0,1080.0,Windows 11 OS,1,57990
Acer,Predator Helios Neo 16 NH.QLTSI.002 Laptop,66.0,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16,LPDDR5,512,SSD,6GB NVIDIA GeForce RTX 4050,16.0,2560.0,1600.0,Windows 11 OS,1,104990
